brand,volume,dm,web,phone,any_deflect,has_link,resolve_lang,apology_open,self_contained
AirAsiaSupport,12829,0.17398082469405254,0.01948709954010445,0.00046769038896250683,0.19377971782679865,0.08465196040221373,0.34998830774027595,0.07607763660456777,0.27695065866396446
GWRHelp,19364,0.014201611237347655,0.009760380086758934,5.16422226812642e-05,0.0216380913034497,0.07007849617847552,0.28181160917165876,0.09476347862011981,0.27416856021483166
SW_Help,12231,0.0071130733382389014,0.0461940969667239,8.17594636579184e-05,0.0533071703049628,0.17954378219278883,0.2807619982012918,0.06516229253536097,0.2629384351238656
sainsburys,19466,0.23045309770882563,0.049368129045515255,0.0006678310901058255,0.24463166546799547,0.30627761224699473,0.27766361861707595,0.16192335353950477,0.21231891503133668
AdobeCare,9917,0.0909549258848442,0.04376323484924877,0.0017142280931733388,0.1267520419481698,0.41282645961480285,0.23585761823131995,0.04366239790259151,0.20096803468790966
MicrosoftHelps,11304,0.07793701344656759,0.05272469922151451,0.0015923566878980893,0.1275654635527247,0.5118542108987969,0.23027246992215145,0.0014154281670205238,0.1957714083510262
British_Airways,29361,0.14004972582677702,0.010047341711794557,0.0010558223493750212,0.1504376553932087,0.06815162971288444,0.2379687340349443,0.1110997581826232,0.1942713122850039
XboxSupport,24557,0.2093496762633872,0.09365964897992425,4.072158651301055e-05,0.28782017347395855,0.4035102007574215,0.23813983792808568,0.023414912244981063,0.18365435517367756
AskPlayStation,19098,0.27683527070897473,0.07021677662582469,0.00015708451146716933,0.3472091318462666,0.3663210807414389,0.3530736202743743,0.12666247774636089,0.1834747093936538
SpotifyCares,43265,0.3085866173581417,0.08434069108979544,0.0,0.3586270657575407,0.5049347047266843,0.30479602450017335,0.0142609499595516,0.18248006471743905
Tesco,38573,0.26837425141938664,0.004433152723407565,0.00046664765509553315,0.2715889352656003,0.08270033443081949,0.243771550047961,0.028206258263552227,0.17914084981722966
marksandspencer,11504,0.11265646731571627,0.009996522948539638,0.0013908205841446453,0.11900208623087621,0.12969401947148818,0.20271210013908206,0.11656815020862309,0.17307023643949931
AmazonHelp,169840,0.006494347621290627,0.12501177578897787,0.005328544512482336,0.136481394253415,0.4129592557701366,0.18280734809232219,0.1832724917569477,0.15515779557230333
VirginTrains,27817,0.026099148003019736,0.04256389977351979,3.5949239673580906e-05,0.06718912894992271,0.13204155732106265,0.17367077686306934,0.10374950569795449,0.15375489808390552
hulu_support,21872,0.005943672275054865,0.21264630577907828,0.02564923189465984,0.24090160936356986,0.5484180687637161,0.2924743964886613,0.27990124359912216,0.15229517190929043
AppleSupport,106860,0.5251450495976043,0.05,5.614823133071308e-05,0.5575519371139809,0.7535279805352798,0.23096574957888827,0.0016844469399213925,0.150159086655437
AmericanAir,36764,0.18885322598193885,0.013301055380263301,0.02165161571102165,0.22255467304972257,0.06471004243281471,0.1691872483951692,0.0699053421825699,0.12626482428462626
VerizonSupport,17966,0.11688745407992876,0.005510408549482356,0.009295335633975287,0.13113659133919625,0.10826004675498163,0.14115551597461873,0.01235667371702104,0.1251808972503618
SouthwestAir,28977,0.177520102149981,0.011629913379576905,0.011975014666804708,0.19884736170065914,0.16195603409600717,0.1294129827104255,0.07688856679435414,0.10646374710977671
Delta,42253,0.1646273637374861,0.014673514306676448,0.01651953707429058,0.1880103187939318,0.15340922538044635,0.11774311883179893,0.033583414195441745,0.08678673703642345
ATVIAssist,17650,0.23705382436260622,0.028555240793201132,0.0,0.25626062322946175,0.32079320113314447,0.0994900849858357,0.08946175637393768,0.08220963172804532
ChipotleTweets,18749,0.011467278254840257,0.04565576830764308,0.00032001706757693745,0.05738972745213078,0.27788148701264065,0.08827137447330524,0.12357992426262734,0.07792415595498427
BofA_Help,12683,0.06394386186233542,0.023417172593235037,0.030592131199243082,0.11724355436410944,0.30631554048726645,0.08460143499172121,0.018844122053142003,0.07301111724355436
Uber_Support,56270,0.35308334814288256,0.21940643326817133,0.00017771459036786921,0.5708548071796694,0.512848764883597,0.13282388484094546,0.14757419584147857,0.06081393282388484
AskAmex,11358,0.01593590420848741,0.005634794858249692,0.1107589364324705,0.13153724247226625,0.06233491811938722,0.06541644655749251,0.01584786053882726,0.056788166930797676
